twitter_handle,twitter_url,timestamp,number_of_followers
,,,
wikibuy,http://twitter.com/wikibuy,2015-09-24T22:49:44,95
,,,
savehoney,http://twitter.com/savehoney,2015-09-24T22:49:45,1593
,,,
jet,http://twitter.com/jet,2015-09-24T22:49:46,6201
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1443041386&q=wikibuy,2015-09-24T22:49:46,0
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1443041386&q=scott%20hilton%20jet,2015-09-24T22:49:46,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1443041386&q=joinhoney,2015-09-24T22:49:46,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1443041386&q=togga,2015-09-24T22:49:46,0
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-18T16:54:54,110
,,,
savehoney,http://twitter.com/savehoney,2015-10-18T16:54:54,1604
,,,
jet,http://twitter.com/jet,2015-10-18T16:54:54,6594
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445118895&q=wikibuy,2015-10-18T16:54:55,4
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445118895&q=scott%20hilton%20jet,2015-10-18T16:54:55,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445118895&q=joinhoney,2015-10-18T16:54:55,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445118895&q=togga,2015-10-18T16:54:55,3
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445158801&q=wikibuy,2015-10-19T04:00:01,4
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445158801&q=scott%20hilton%20jet,2015-10-19T04:00:01,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445158801&q=joinhoney,2015-10-19T04:00:01,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445158801&q=togga,2015-10-19T04:00:01,3
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-19T18:04:53,110
,,,
savehoney,http://twitter.com/savehoney,2015-10-19T18:04:54,1601
,,,
jet,http://twitter.com/jet,2015-10-19T18:04:54,6609
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445209495&q=wikibuy,2015-10-19T18:04:55,0
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445209495&q=scott%20hilton%20jet,2015-10-19T18:04:55,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445209495&q=joinhoney,2015-10-19T18:04:55,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445209495&q=togga,2015-10-19T18:04:55,1
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445245201&q=wikibuy,2015-10-20T04:00:01,1
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445245201&q=scott%20hilton%20jet,2015-10-20T04:00:01,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445245201&q=joinhoney,2015-10-20T04:00:01,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445245201&q=togga,2015-10-20T04:00:01,1
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-21T04:00:25,110
,,,
savehoney,http://twitter.com/savehoney,2015-10-21T04:00:27,1598
,,,
jet,http://twitter.com/jet,2015-10-21T04:00:29,6629
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445331631&q=wikibuy,2015-10-21T04:00:31,1
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445331631&q=scott%20hilton%20jet,2015-10-21T04:00:31,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445331631&q=joinhoney,2015-10-21T04:00:31,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445331631&q=togga,2015-10-21T04:00:31,1
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-22T04:00:08,111
,,,
savehoney,http://twitter.com/savehoney,2015-10-22T04:00:09,1599
,,,
jet,http://twitter.com/jet,2015-10-22T04:00:09,6641
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445418010&q=wikibuy,2015-10-22T04:00:10,0
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445418010&q=scott%20hilton%20jet,2015-10-22T04:00:10,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445418010&q=joinhoney,2015-10-22T04:00:10,0
,,,
